method,path,router_file
POST,/auth/login,backend/main.py
POST,/consultorio/afericao-pa,backend/routers/servicos_rapidos.py
GET,/consultorio/agenda,backend/routers/consultorio.py
POST,/consultorio/agenda,backend/routers/consultorio.py
GET,/consultorio/agenda-retornos,backend/routers/consultorio.py
GET,/consultorio/agenda/capacidade,backend/routers/consultorio.py
POST,/consultorio/agenda/capacidade,backend/routers/consultorio.py
GET,/consultorio/agenda/capacidade-dia,backend/routers/consultorio.py
PUT,/consultorio/agenda/capacidade/{capacidade_id},backend/routers/consultorio.py
POST,/consultorio/agenda/gerar-alertas-renovacao,backend/routers/consultorio.py
POST,/consultorio/agenda/gerar-alertas-risco-interrupcao,backend/routers/consultorio.py
GET,/consultorio/agenda/notificacoes,backend/routers/consultorio.py
GET,/consultorio/agenda/notificacoes-pendentes,backend/routers/consultorio.py
POST,/consultorio/agenda/notificacoes/gerar,backend/routers/consultorio.py
GET,/consultorio/agenda/notificacoes/listar,backend/routers/consultorio.py
PUT,/consultorio/agenda/notificacoes/{notificacao_id}/marcar-enviada,backend/routers/notificacoes.py
PUT,/consultorio/agenda/notificacoes/{notificacao_id}/status,backend/routers/consultorio.py
GET,/consultorio/agenda/pacientes,backend/routers/consultorio.py
POST,/consultorio/agenda/pacientes,backend/routers/consultorio.py
GET,/consultorio/agenda/pacientes/buscar,backend/routers/consultorio.py
PUT,/consultorio/agenda/pacientes/{paciente_id},backend/routers/consultorio.py
GET,/consultorio/agenda/painel-pendencias,backend/routers/consultorio.py
GET,/consultorio/agenda/sugerir-datas,backend/routers/consultorio.py
PUT,/consultorio/agenda/{agenda_id},backend/routers/consultorio.py
GET,/consultorio/agenda/{agenda_id}/relacionados,backend/routers/consultorio.py
POST,/consultorio/agenda/{agenda_id}/status,backend/routers/consultorio.py
GET,/consultorio/alertas-clinicos-consolidados,backend/routers/alertas_clinicos.py
GET,/consultorio/alertas-clinicos-consolidados,backend/routers/consultorio.py
GET,/consultorio/alertas-clinicos/resolucoes,backend/routers/alertas_clinicos.py
GET,/consultorio/alertas-clinicos/resolucoes,backend/routers/consultorio.py
GET,/consultorio/alertas-clinicos/resolucoes,backend/routers/consultorio.py
POST,/consultorio/alertas-clinicos/resolver,backend/routers/alertas_clinicos.py
POST,/consultorio/alertas-clinicos/resolver,backend/routers/consultorio.py
GET,/consultorio/alertas-pendentes,backend/routers/alertas_clinicos.py
GET,/consultorio/alertas-pendentes,backend/routers/consultorio.py
POST,/consultorio/atendimento-rapido,backend/routers/servicos_rapidos.py
GET,/consultorio/atendimento-rapido/{atendimento_id}/declaracao-pdf,backend/routers/consultorio.py
GET,/consultorio/atendimento-rapido/{atendimento_id}/detalhes,backend/routers/servicos_rapidos.py
GET,/consultorio/atendimentos-rapidos,backend/routers/servicos_rapidos.py
POST,/consultorio/bioimpedancia,backend/routers/servicos_rapidos.py
GET,/consultorio/bioimpedancia/{bioimpedancia_id}/laudo-pdf,backend/routers/bioimpedancia.py
GET,/consultorio/bioimpedancia/{bioimpedancia_id}/laudo-pdf,backend/routers/consultorio.py
GET,/consultorio/buscar-paciente,backend/routers/conversao_clinica.py
GET,/consultorio/classificacao-risco-populacional,backend/routers/consultorio.py
POST,/consultorio/converter-para-clinico/{paciente_simplificado_id},backend/routers/consultorio_clinico.py
POST,/consultorio/converter-para-clinico/{paciente_simplificado_id},backend/routers/conversao_clinica.py
GET,/consultorio/dashboard-antropometrico,backend/routers/consultorio.py
GET,/consultorio/dashboard-antropometrico,backend/routers/indicadores_cientificos.py
GET,/consultorio/dashboard-cardiovascular,backend/routers/consultorio.py
GET,/consultorio/dashboard-cardiovascular,backend/routers/indicadores_cientificos.py
GET,/consultorio/dashboard-desfechos,backend/routers/consultorio.py
