classe,campo,definicao
PlanoCuidado,id,"Integer, primary_key=True, index=True)"
PlanoCuidado,criado_por,String(150))
PlanoCuidado,problema_identificado,Text)
PlanoCuidado,objetivo_terapeutico,Text)
PlanoCuidado,intervencoes_planejadas,Text)
PlanoCuidado,prazo_reavaliacao,Date)
PlanoCuidado,observacoes,Text)
PlanoCuidado,concluido_em,DateTime)
PlanoCuidado,resultado,Text)
PlanoCuidado,resultado_classificacao,String(50))
EvolucaoClinica,id,"Integer, primary_key=True, index=True)"
EvolucaoClinica,prontuario_id,"Integer, ForeignKey(""prontuarios_clinicos.id""), nullable=False)"
EvolucaoClinica,intervencao_id,"Integer, nullable=True)"
EvolucaoClinica,data_evolucao,"DateTime, default=datetime.utcnow)"
EvolucaoClinica,tipo_atendimento,"String, nullable=True)"
EvolucaoClinica,queixa_principal,"Text, nullable=True)"
EvolucaoClinica,historia_breve,"Text, nullable=True)"
EvolucaoClinica,avaliacao_farmaceutica,"Text, nullable=True)"
EvolucaoClinica,problemas_identificados,"Text, nullable=True)"
EvolucaoClinica,conduta,"Text, nullable=True)"
EvolucaoClinica,orientacoes_realizadas,"Text, nullable=True)"
EvolucaoClinica,plano_acompanhamento,"Text, nullable=True)"
EvolucaoClinica,necessidade_retorno,"Boolean, default=False)"
EvolucaoClinica,data_retorno_sugerida,"Date, nullable=True)"
EvolucaoClinica,observacoes,"Text, nullable=True)"
EvolucaoClinica,criado_em,"DateTime, default=datetime.utcnow)"
ProblemaFarmacoterapeutico,id,"Integer, primary_key=True, index=True)"
ProblemaFarmacoterapeutico,paciente_clinico_id,"Integer, ForeignKey(""pacientes_clinicos.id""), nullable=False, index=True)"
ProblemaFarmacoterapeutico,medicamento_uso_id,"Integer, ForeignKey(""medicamentos_uso.id""), nullable=True, index=True)"
ProblemaFarmacoterapeutico,categoria,"String, nullable=False, index=True)  # NECESSIDADE, EFETIVIDADE, SEGURANCA, ADESAO"
ProblemaFarmacoterapeutico,tipo,"String, nullable=False, index=True)  # legado/compatibilidade: recebe a subcategoria padronizada"
ProblemaFarmacoterapeutico,subcategoria,"String, nullable=True, index=True)"
ProblemaFarmacoterapeutico,natureza,"String, default=""MANIFESTO"", index=True)  # POTENCIAL, MANIFESTO"
ProblemaFarmacoterapeutico,gravidade,"String, default=""MODERADA"", index=True)  # legado/compatibilidade"
ProblemaFarmacoterapeutico,criticidade,"String, default=""MODERADA"", index=True)  # BAIXA, MODERADA, ALTA"
ProblemaFarmacoterapeutico,descricao,"Text, nullable=True)"
ProblemaFarmacoterapeutico,evidencias,"Text, nullable=True)"
ProblemaFarmacoterapeutico,causa_fator,"String, nullable=True, index=True)"
ProblemaFarmacoterapeutico,condicao_saude,"String, nullable=True, index=True)"
ProblemaFarmacoterapeutico,status,"String, default=""ABERTO"", index=True)  # ABERTO, EM_ACOMPANHAMENTO, RESOLVIDO, NAO_RESOLVIDO, REGISTRO_INVALIDO"
ProblemaFarmacoterapeutico,desfecho,"String, default=""NAO_AVALIADO"", index=True)  # RESOLVIDO, PARCIALMENTE_RESOLVIDO, NAO_RESOLVIDO, NAO_AVALIADO"
ProblemaFarmacoterapeutico,data_identificacao,"DateTime, default=datetime.utcnow, index=True)"
ProblemaFarmacoterapeutico,data_resolucao,"DateTime, nullable=True)"
ProblemaFarmacoterapeutico,resolucao,"Text, nullable=True)"
ProblemaFarmacoterapeutico,origem,"String, default=""CONSULTA_FARMACEUTICA"", index=True)"
ProblemaFarmacoterapeutico,sistema_codificacao,"String, default=""PRM_FE_NEES_V1"", index=True)"
ProblemaFarmacoterapeutico,versao_catalogo,"String, default=""2026.1"", index=True)"
ProblemaFarmacoterapeutico,codigo_externo,"String, nullable=True)"
ProblemaFarmacoterapeutico,criado_por,"String, nullable=True)"
ProblemaFarmacoterapeutico,criado_em,"DateTime, default=datetime.utcnow)"
ProblemaFarmacoterapeutico,atualizado_em,"DateTime, default=datetime.utcnow)"
IntervencaoFarmacoterapia,id,"Integer, primary_key=True, index=True)"
IntervencaoFarmacoterapia,paciente_clinico_id,"Integer, ForeignKey(""pacientes_clinicos.id""), nullable=False)"
IntervencaoFarmacoterapia,medicamento_uso_id,"Integer, ForeignKey(""medicamentos_uso.id""), nullable=True)"
