metodo,rota,arquivo,router_registrado_no_main
GET,/consultorio/agenda,routers/consultorio.py,True
GET,/consultorio/agenda-retornos,routers/consultorio.py,True
GET,/consultorio/agenda/capacidade,routers/consultorio.py,True
GET,/consultorio/agenda/capacidade-dia,routers/consultorio.py,True
GET,/consultorio/agenda/notificacoes,routers/consultorio.py,True
GET,/consultorio/agenda/notificacoes-pendentes,routers/consultorio.py,True
GET,/consultorio/agenda/notificacoes/listar,routers/consultorio.py,True
GET,/consultorio/agenda/pacientes,routers/consultorio.py,True
GET,/consultorio/agenda/pacientes/buscar,routers/consultorio.py,True
GET,/consultorio/agenda/painel-pendencias,routers/consultorio.py,True
GET,/consultorio/agenda/sugerir-datas,routers/consultorio.py,True
GET,/consultorio/agenda/{agenda_id}/relacionados,routers/consultorio.py,True
GET,/consultorio/alertas-clinicos-consolidados,routers/alertas_clinicos.py,False
GET,/consultorio/alertas-clinicos-consolidados,routers/consultorio.py,True
GET,/consultorio/alertas-clinicos/resolucoes,routers/alertas_clinicos.py,False
GET,/consultorio/alertas-clinicos/resolucoes,routers/consultorio.py,True
GET,/consultorio/alertas-clinicos/resolucoes,routers/consultorio.py,True
GET,/consultorio/alertas-pendentes,routers/alertas_clinicos.py,False
GET,/consultorio/alertas-pendentes,routers/consultorio.py,True
GET,/consultorio/atendimento-rapido/{atendimento_id}/declaracao-pdf,routers/consultorio.py,True
GET,/consultorio/atendimento-rapido/{atendimento_id}/detalhes,routers/servicos_rapidos.py,True
GET,/consultorio/atendimentos-rapidos,routers/servicos_rapidos.py,True
GET,/consultorio/bioimpedancia/{bioimpedancia_id}/laudo-pdf,routers/bioimpedancia.py,False
GET,/consultorio/bioimpedancia/{bioimpedancia_id}/laudo-pdf,routers/consultorio.py,True
GET,/consultorio/buscar-paciente,routers/conversao_clinica.py,True
GET,/consultorio/classificacao-risco-populacional,routers/consultorio.py,True
GET,/consultorio/dashboard-antropometrico,routers/indicadores_cientificos.py,True
GET,/consultorio/dashboard-cardiovascular,routers/indicadores_cientificos.py,True
GET,/consultorio/dashboard-desfechos,routers/consultorio.py,True
GET,/consultorio/dashboard-efetividade-cuidado,routers/indicadores_cientificos.py,True
GET,/consultorio/dashboard-epidemiologico,routers/indicadores_cientificos.py,True
GET,/consultorio/dashboard-farmacoterapeutico,routers/farmacoterapia.py,True
GET,/consultorio/dashboard-glicemico,routers/indicadores_cientificos.py,True
GET,/consultorio/dashboard-notificacoes/,routers/dashboard_notificacoes.py,True
GET,/consultorio/dashboard-notificacoes/painel-gerencial,routers/dashboard_notificacoes.py,True
GET,/consultorio/dashboard-notificacoes/painel-operacional,routers/dashboard_notificacoes.py,True
GET,/consultorio/dashboard-resolucao-alertas,routers/alertas_clinicos.py,False
GET,/consultorio/dashboard-resolucao-alertas,routers/consultorio.py,True
GET,/consultorio/dashboard-serie-temporal,routers/consultorio.py,True
GET,/consultorio/dashboard-servicos,routers/consultorio.py,True
GET,/consultorio/evolucao-farmaceutica/{evolucao_id}/pdf,routers/consultorio.py,True
GET,/consultorio/evolucao-risco-populacional,routers/consultorio.py,True
GET,/consultorio/evolucao/{evolucao_id}/desfechos,routers/consultorio.py,True
GET,/consultorio/evolucao/{evolucao_id}/desfechos,routers/consultorio_clinico.py,False
GET,/consultorio/exportacao-cientifica-excel,routers/indicadores_cientificos.py,True
GET,/consultorio/exportacao-cientifica-excel,routers/relatorios_cientificos.py,False
GET,/consultorio/exportacao-pesquisa-anonimizada,routers/indicadores_cientificos.py,True
GET,/consultorio/exportacao-pesquisa-anonimizada,routers/relatorios_cientificos.py,False
GET,/consultorio/fila-clinica,routers/consultorio.py,True
GET,/consultorio/indicadores-cientificos,routers/indicadores_cientificos.py,True
GET,/consultorio/indicadores-cientificos,routers/relatorios_cientificos.py,False
GET,/consultorio/intervencao-farmacoterapia/{intervencao_id}/desfechos,routers/farmacoterapia.py,True
GET,/consultorio/paciente-clinico/{paciente_clinico_id}/pdf,routers/prontuario_consultorio.py,True
GET,/consultorio/paciente-clinico/{paciente_clinico_id}/prontuario-longitudinal-pdf,routers/prontuario_consultorio.py,True
GET,/consultorio/paciente-clinico/{paciente_clinico_id}/timeline,routers/timeline_consultorio.py,True
GET,/consultorio/paciente-clinico/{paciente_id},routers/conversao_clinica.py,True
GET,/consultorio/paciente-clinico/{paciente_id}/avaliacao-polifarmacia,routers/farmacoterapia.py,True
